m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 16, 1, 27.927271
32, 32, 32, 1, 32, 1, 31.108860
48, 48, 48, 1, 48, 1, 30.891619
64, 64, 64, 1, 64, 1, 31.207619
80, 80, 80, 1, 80, 1, 31.283096
96, 96, 96, 1, 96, 1, 31.240679
112, 112, 112, 1, 112, 1, 31.524189
128, 128, 128, 1, 128, 1, 31.890997
144, 144, 144, 1, 144, 1, 32.148838
160, 160, 160, 1, 160, 1, 32.167542
176, 176, 176, 1, 176, 1, 31.975225
192, 192, 192, 1, 192, 1, 31.688251
208, 208, 208, 1, 208, 1, 32.346916
224, 224, 224, 1, 224, 1, 32.112640
240, 240, 240, 1, 240, 1, 32.186264
256, 256, 256, 1, 256, 1, 31.621714
272, 272, 272, 1, 272, 1, 31.465816
288, 288, 288, 1, 288, 1, 31.612768
304, 304, 304, 1, 304, 1, 31.559250
320, 320, 320, 1, 320, 1, 31.227446
336, 336, 336, 1, 336, 1, 31.122261
352, 352, 352, 1, 352, 1, 31.121883
368, 368, 368, 1, 368, 1, 30.936378
384, 384, 384, 1, 384, 1, 31.076080
400, 400, 400, 1, 400, 1, 30.656237
416, 416, 416, 1, 416, 1, 30.661037
432, 432, 432, 1, 432, 1, 30.800276
448, 448, 448, 1, 448, 1, 30.816301
464, 464, 464, 1, 464, 1, 30.531223
480, 480, 480, 1, 480, 1, 30.735367
496, 496, 496, 1, 496, 1, 30.903297
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 1, 16, 1, 16, 26.713045
32, 32, 1, 32, 1, 32, 29.609640
48, 48, 1, 48, 1, 48, 30.550278
64, 64, 1, 64, 1, 64, 30.913208
80, 80, 1, 80, 1, 80, 30.905434
96, 96, 1, 96, 1, 96, 31.021597
112, 112, 1, 112, 1, 112, 31.004736
128, 128, 1, 128, 1, 128, 31.532961
144, 144, 1, 144, 1, 144, 31.698343
160, 160, 1, 160, 1, 160, 31.686436
176, 176, 1, 176, 1, 176, 31.368101
192, 192, 1, 192, 1, 192, 31.893871
208, 208, 1, 208, 1, 208, 31.627659
224, 224, 1, 224, 1, 224, 32.138351
240, 240, 1, 240, 1, 240, 31.955618
256, 256, 1, 256, 1, 256, 31.400761
272, 272, 1, 272, 1, 272, 31.906847
288, 288, 1, 288, 1, 288, 31.942490
304, 304, 1, 304, 1, 304, 31.885912
320, 320, 1, 320, 1, 320, 31.743736
336, 336, 1, 336, 1, 336, 31.440056
352, 352, 1, 352, 1, 352, 31.451042
368, 368, 1, 368, 1, 368, 30.581257
384, 384, 1, 384, 1, 384, 30.458250
400, 400, 1, 400, 1, 400, 26.596481
416, 416, 1, 416, 1, 416, 26.245461
432, 432, 1, 432, 1, 432, 31.155926
448, 448, 1, 448, 1, 448, 31.211664
464, 464, 1, 464, 1, 464, 31.418606
480, 480, 1, 480, 1, 480, 30.251108
496, 496, 1, 496, 1, 496, 31.013678
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 1, 16, 43.885712
32, 32, 32, 1, 1, 32, 50.155102
48, 48, 48, 1, 1, 48, 51.678505
64, 64, 64, 1, 1, 64, 52.289360
80, 80, 80, 1, 1, 80, 52.602741
96, 96, 96, 1, 1, 96, 53.555450
112, 112, 112, 1, 1, 112, 53.190105
128, 128, 128, 1, 1, 128, 53.426090
144, 144, 144, 1, 1, 144, 52.440887
160, 160, 160, 1, 1, 160, 53.333332
176, 176, 176, 1, 1, 176, 53.139668
192, 192, 192, 1, 1, 192, 52.820057
208, 208, 208, 1, 1, 208, 53.275322
